TIMESTAMP,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
2020-01-22,ANDPAPER,EQ,308.95,315.0,302.1,303.55,303.5,308.95,5135,1576698.8,293,INE435A01028
2020-01-22,ANIKINDS,EQ,11.25,11.25,11.25,11.25,11.25,10.75,5579,62763.75,29,INE087B01017
2020-01-22,ANKITMETAL,BE,0.5,0.5,0.5,0.5,0.5,0.55,4027,2013.5,13,INE106I01010
2020-01-22,ANSALAPI,EQ,5.35,5.55,5.1,5.2,5.15,5.35,21847,115117.85,69,INE436A01026
2020-01-22,ANSALHSG,BE,5.7,5.8,5.55,5.6,5.8,5.7,9254,51978.4,29,INE880B01015
2020-01-22,ANTGRAPHIC,BE,0.6,0.65,0.6,0.65,0.65,0.65,6920,4391.45,13,INE414B01021
2020-01-22,ANUP,EQ,555.25,563.05,545.25,553.8,557.85,555.25,29122,16073534.0,1437,INE294Z01018
2020-01-22,APARINDS,EQ,433.65,455.0,430.75,443.25,443.0,429.45,196623,87524537.2,6987,INE372A01015
2020-01-22,APCL,EQ,159.0,161.7,156.6,156.65,156.6,159.55,4404,701519.65,153,INE071F01012
2020-01-22,APCOTEXIND,EQ,169.5,169.5,157.85,158.95,158.35,164.8,40433,6520965.2,1217,INE116A01032
2020-01-22,APEX,EQ,415.6,421.75,408.0,410.0,410.7,412.2,234712,97067586.25,5725,INE346W01013
2020-01-22,APLAPOLLO,EQ,2019.95,2021.05,1985.2,1995.6,1992.0,1994.8,12953,25957009.15,1657,INE702C01019
2020-01-22,APLLTD,EQ,602.0,605.0,585.25,590.2,593.0,599.6,549485,328306066.75,11212,INE901L01018
2020-01-22,APOLLO,EQ,76.3,79.5,76.3,77.95,78.7,76.85,26406,2059898.75,891,INE713T01010
2020-01-22,APOLLOHOSP,EQ,1643.65,1664.0,1626.5,1634.45,1638.8,1626.2,736367,1207933467.25,26130,INE437A01024
2020-01-22,APOLLOPIPE,EQ,404.0,404.0,387.0,390.2,387.2,394.45,6587,2580600.3,377,INE126J01016
2020-01-22,APOLLOTYRE,EQ,175.5,175.5,173.35,174.25,174.6,174.85,1035978,180568717.0,7062,INE438A01022
2020-01-22,APOLSINHOT,EQ,730.65,736.05,730.0,732.8,730.1,730.5,572,418846.55,233,INE451F01024
2020-01-22,APTECHT,EQ,176.0,183.2,175.95,177.1,176.9,175.45,381719,68406814.35,7452,INE266F01018
2020-01-22,ARCHIDPLY,EQ,33.05,33.2,30.8,31.45,31.55,32.05,11034,351785.6,307,INE877I01016
2020-01-22,ARCHIES,EQ,19.4,19.8,18.7,18.75,18.7,19.3,31561,603461.15,531,INE731A01020
